Date,Geography,Institution type,Registration status,ISCED,Field of study,Gender,Status of student in Canada,UOM,Scalar Factor,Value
2017/2018,New Brunswick,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,14880
2018/2019,New Brunswick,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,14811
2019/2020,New Brunswick,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,15489
2016/2017,Quebec,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,308526
2017/2018,Quebec,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,309516
2018/2019,Quebec,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,307722
2019/2020,Quebec,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,307422
2016/2017,Ontario,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,457071
2017/2018,Ontario,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,466947
2018/2019,Ontario,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,480477
2019/2020,Ontario,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,491463
2016/2017,Manitoba,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,35670
2017/2018,Manitoba,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,35517
2018/2019,Manitoba,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,35964
2019/2020,Manitoba,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,36882
