Date,Geography,Institution type,Registration status,ISCED,Field of study,Gender,Status of student in Canada,UOM,Scalar Factor,Value
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,1299
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,1461
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,1764
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,387
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,393
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,456
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,534
2016/2017,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,10611
2017/2018,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,11808
2018/2019,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,13437
2019/2020,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,14688
2016/2017,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,11667
2017/2018,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,13077
2018/2019,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,14721
2019/2020,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,16251
2016/2017,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,774
2017/2018,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,819
2018/2019,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,897
2019/2020,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,945
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,969
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,1050
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,1143
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,1221
2016/2017,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,2343
2017/2018,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,2433
2018/2019,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,2679
2019/2020,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,3321
2016/2017,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,4332
2017/2018,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,4710
2018/2019,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,4704
2019/2020,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ","Total, gender",International students,Number,units,5466
2016/2017,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,14715
2017/2018,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,16128
2018/2019,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,17958
2019/2020,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,20079
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,252
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,306
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,321
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,375
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,132
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,147
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,162
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,156
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,495
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,504
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,609
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,723
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,183
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,177
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,204
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,216
2016/2017,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,4512
2017/2018,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,5058
2018/2019,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,5931
2019/2020,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,6444
2016/2017,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,5142
2017/2018,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,5607
2018/2019,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,6246
2019/2020,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,6900
2016/2017,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,339
2017/2018,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,381
2018/2019,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,429
2019/2020,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,483
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,432
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,465
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,513
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,555
2016/2017,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,1032
2017/2018,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,1032
2018/2019,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,1113
2019/2020,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,1374
2016/2017,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,2199
2017/2018,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,2451
2018/2019,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,2436
2019/2020,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Female gender,International students,Number,units,2856
2016/2017,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,18540
2017/2018,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,20346
2018/2019,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,22386
2019/2020,Canada,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,25038
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,534
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,528
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,531
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,657
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,36
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,27
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,45
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,54
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,723
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,795
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,852
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,1038
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,207
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,219
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,252
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,318
2016/2017,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,6102
2017/2018,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,6750
2018/2019,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,7506
2019/2020,Quebec,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,8244
2016/2017,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,6525
2017/2018,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,7356
2018/2019,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,8277
2019/2020,Ontario,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,9060
2016/2017,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,438
2017/2018,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,441
2018/2019,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,465
2019/2020,Manitoba,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,462
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,537
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,585
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,624
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,666
2016/2017,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,1311
2017/2018,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,1398
2018/2019,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,1560
2019/2020,Alberta,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,1944
2016/2017,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,2130
2017/2018,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,2256
2018/2019,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,2268
2019/2020,British Columbia,"Total, institution type","Total, registration status",Master's or equivalent,"Total, field of study ",Male gender,International students,Number,units,2601
2016/2017,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,14772
2017/2018,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,19299
2018/2019,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,24951
2019/2020,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,25416
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,24
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,15
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,21
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,24
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,15
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,42
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,30
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,48
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,0
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,0
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,30
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,48
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,126
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,132
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,186
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,306
2016/2017,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,1899
2017/2018,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,1656
2018/2019,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,3222
2019/2020,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,4824
2016/2017,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,8571
2017/2018,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,13200
2018/2019,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,15864
2019/2020,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,13596
2016/2017,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,714
2017/2018,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,627
2018/2019,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,552
2019/2020,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,660
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,171
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,219
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,264
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,270
2016/2017,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,498
2017/2018,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,561
2018/2019,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,1050
2019/2020,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,1107
2016/2017,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,2757
2017/2018,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,2841
2018/2019,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,3735
2019/2020,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender",International students,Number,units,4539
2016/2017,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,6867
2017/2018,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,8565
2018/2019,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,11304
2019/2020,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,11949
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,9
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,9
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,9
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,9
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,3
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,15
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,9
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,18
2016/2017,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,3
2017/2018,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,0
2018/2019,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,15
2019/2020,Nova Scotia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,30
2016/2017,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,48
2017/2018,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,60
2018/2019,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,90
2019/2020,New Brunswick,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,126
2016/2017,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,744
2017/2018,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,693
2018/2019,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,1320
2019/2020,Quebec,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,1992
2016/2017,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,4041
2017/2018,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,5715
2018/2019,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,7062
2019/2020,Ontario,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,6522
2016/2017,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,294
2017/2018,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,252
2018/2019,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,219
2019/2020,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,291
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,72
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,90
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,111
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,99
2016/2017,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,300
2017/2018,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,306
2018/2019,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,639
2019/2020,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,672
2016/2017,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,1353
2017/2018,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,1422
2018/2019,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,1827
2019/2020,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,International students,Number,units,2190
2016/2017,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,7845
2017/2018,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,10671
2018/2019,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,13575
2019/2020,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,13398
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,12
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,6
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,15
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,15
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,9
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,27
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Male gender,International students,Number,units,18
